trip_uuid,source_center,destination_center,route_type,trip_creation_time,od_start_time,od_end_time,actual_time,osrm_time,osrm_distance,actual_distance_to_destination,data
trip-153671128962918389,IND302014AAB,IND302026AAA,Carting,2018-09-12 00:14:49.629525,2018-09-12 00:14:49.629525,2018-09-12 02:05:25.351238,86.0,18.0,18.9291,14.20270672685711,training
trip-153671128962918389,IND302020AAA,IND302014AAB,Carting,2018-09-12 00:14:49.629525,2018-09-12 04:11:15.177664,2018-09-12 04:51:49.754427,23.0,9.0,11.5589,10.21497674502906,training
trip-153671143043841452,IND211002AAB,IND485001AAC,FTL,2018-09-12 00:17:10.438683,2018-09-12 00:17:10.438683,2018-09-12 08:51:47.427311,289.0,132.0,184.6407,129.74999590608988,training
trip-153671173668736946,IND110043AAA,IND110078AAA,Carting,2018-09-12 00:22:16.687619,2018-09-12 00:22:16.687619,2018-09-12 01:29:19.277412,44.0,21.0,18.7668,12.756768045055304,training
trip-153671174968648046,IND781005AAA,IND781018AAB,Carting,2018-09-12 00:22:29.686740,2018-09-12 03:53:13.532367,2018-09-12 06:11:57.563883,110.0,18.0,19.4925,9.94152474747652,training
trip-153671186247781647,IND209304AAA,IND209801AAA,Carting,2018-09-12 00:24:22.478232,2018-09-12 00:24:22.478232,2018-09-12 03:37:31.889013,160.0,35.0,46.6075,37.07151283345673,training
trip-153671186247781647,IND209801AAA,IND209304AAA,Carting,2018-09-12 00:24:22.478232,2018-09-12 03:37:31.889013,2018-09-12 18:10:51.317766,685.0,33.0,47.0734,37.49167354389872,training
trip-153671191949943656,IND487001AAB,IND487551AAA,FTL,2018-09-12 00:25:19.499696,2018-09-12 04:33:09.726898,2018-09-12 05:59:13.062416,78.0,42.0,48.4129,42.63033296031683,training
trip-153671191949943656,IND487551AAA,IND464668AAA,FTL,2018-09-12 00:25:19.499696,2018-09-12 05:59:13.062416,2018-09-12 09:23:49.463096,175.0,67.0,81.9341,57.34526176515766,training
trip-153671202698783427,IND395001AAA,IND395023AAD,Carting,2018-09-12 00:27:06.988059,2018-09-12 02:37:19.832796,2018-09-12 05:37:46.359107,146.0,14.0,14.7138,9.6127552094318,training
trip-153671202698783427,IND395023AAD,IND395006AAA,Carting,2018-09-12 00:27:06.988059,2018-09-12 00:27:06.988059,2018-09-12 02:04:22.360575,24.0,15.0,15.8319,10.604863275729944,training
trip-153671224643574839,IND413709AAA,IND423109AAA,Carting,2018-09-12 00:30:46.435980,2018-09-12 04:54:11.610414,2018-09-12 06:15:00.019695,56.0,27.0,29.4937,24.05326992867573,training
trip-153671224643574839,IND422011AAD,IND422103AAC,Carting,2018-09-12 00:30:46.435980,2018-09-12 00:30:46.435980,2018-09-12 02:03:45.814605,87.0,34.0,37.4057,21.27895940746373,training
trip-153671224643574839,IND422103AAC,IND422605AAA,Carting,2018-09-12 00:30:46.435980,2018-09-12 02:03:45.814605,2018-09-12 03:13:38.555321,54.0,30.0,38.7871,36.54135841014276,training
trip-153671224643574839,IND422605AAA,IND413709AAA,Carting,2018-09-12 00:30:46.435980,2018-09-12 03:13:38.555321,2018-09-12 04:54:11.610414,77.0,45.0,49.6014,46.38738002369583,training
trip-153671224643574839,IND423109AAA,IND423601AAA,Carting,2018-09-12 00:30:46.435980,2018-09-12 06:15:00.019695,2018-09-12 07:18:36.630134,54.0,10.0,13.4946,12.917889335732108,training
trip-153671224643574839,IND423601AAA,IND423701AAB,Carting,2018-09-12 00:30:46.435980,2018-09-12 07:18:36.630134,2018-09-12 08:27:59.715905,46.0,26.0,34.336400000000005,24.174112262276463,training
trip-153671224643574839,IND423701AAB,IND422011AAD,Carting,2018-09-12 00:30:46.435980,2018-09-12 08:27:59.715905,2018-09-12 11:21:24.531753,158.0,88.0,118.2709,95.86770414931748,training
trip-153671225291120891,IND712103AAA,IND712310AAE,Carting,2018-09-12 00:30:52.911478,2018-09-12 03:09:08.473151,2018-09-12 06:05:06.863852,138.0,30.0,32.017900000000004,27.731212129519008,training
trip-153671225291120891,IND712124AAA,IND712103AAA,Carting,2018-09-12 00:30:52.911478,2018-09-12 02:16:17.710493,2018-09-12 03:09:08.473151,32.0,10.0,11.0795,10.498118563412763,training
trip-153671225291120891,IND712310AAE,IND712124AAA,Carting,2018-09-12 00:30:52.911478,2018-09-12 00:30:52.911478,2018-09-12 02:16:17.710493,52.0,18.0,19.0096,14.68967889903358,training
trip-153671236229420701,IND515301AAA,IND561202AAB,Carting,2018-09-12 00:32:42.294456,2018-09-12 03:39:46.703070,2018-09-12 04:17:37.786512,28.0,17.0,17.391,16.457989722683283,training
trip-153671236229420701,IND561202AAB,IND515134AAA,Carting,2018-09-12 00:32:42.294456,2018-09-12 04:17:37.786512,2018-09-12 06:07:33.588747,109.0,65.0,66.2031,56.65237637644195,training
trip-153671237597058150,IND785690AAB,IND785682AAA,Carting,2018-09-12 00:32:55.970840,2018-09-12 03:48:42.530167,2018-09-12 08:00:47.150111,241.0,33.0,46.9087,39.49595428448995,training
trip-153671240266732246,IND560300AAA,IND560099AAB,Carting,2018-09-12 00:33:22.667576,2018-09-12 00:33:22.667576,2018-09-12 04:57:47.967761,194.0,57.0,53.1902,42.24030467720917,training
trip-153671256526597871,IND560300AAA,IND562132AAA,Carting,2018-09-12 00:36:05.266352,2018-09-12 00:36:05.266352,2018-09-12 04:39:52.116304,162.0,53.0,43.5805,28.70624006705569,training
trip-153671262893947351,IND500055AAC,IND501401AAC,Carting,2018-09-12 00:37:08.939733,2018-09-12 01:05:52.573005,2018-09-12 02:05:34.840021,30.0,12.0,16.0049,14.85920055596232,training
trip-153671262893947351,IND501401AAC,IND500010AAA,Carting,2018-09-12 00:37:08.939733,2018-09-12 02:05:34.840021,2018-09-12 05:35:54.020732,165.0,14.0,14.459700000000002,9.499885115345776,training
trip-153671277074687197,IND624001AAA,IND624619AAA,FTL,2018-09-12 00:39:30.747127,2018-09-12 00:39:30.747127,2018-09-12 01:32:05.649177,40.0,26.0,27.8573,26.534937687687428,training
trip-153671277074687197,IND624101AAA,IND624202AAA,FTL,2018-09-12 00:39:30.747127,2018-09-12 04:51:38.550800,2018-09-12 06:45:07.329780,87.0,119.0,55.1577,29.66560285554505,training
trip-153671277074687197,IND624202AAA,IND625218AAA,FTL,2018-09-12 00:39:30.747127,2018-09-12 06:45:07.329780,2018-09-12 07:32:54.425056,35.0,23.0,26.0605,22.913147763820916,training
trip-153671277074687197,IND624601AAA,IND624101AAA,FTL,2018-09-12 00:39:30.747127,2018-09-12 02:52:44.647485,2018-09-12 04:51:38.550800,100.0,134.0,60.2645,23.527843959971683,training
trip-153671277074687197,IND624619AAA,IND624601AAA,FTL,2018-09-12 00:39:30.747127,2018-09-12 01:32:05.649177,2018-09-12 02:52:44.647485,39.0,27.0,28.2786,26.516746587618083,training
trip-153671279791474803,IND144001AAA,IND144040AAA,FTL,2018-09-12 00:39:57.915096,2018-09-12 02:59:42.355705,2018-09-12 04:24:55.384342,35.0,20.0,26.5091,22.619844695171377,training
trip-153671279791474803,IND144001AAB,IND144601AAA,FTL,2018-09-12 00:39:57.915096,2018-09-12 00:39:57.915096,2018-09-12 02:06:55.592948,54.0,16.0,19.5231,18.681675416632466,training
trip-153671279791474803,IND144040AAA,IND144001AAB,FTL,2018-09-12 00:39:57.915096,2018-09-12 04:24:55.384342,2018-09-12 05:07:33.439551,39.0,19.0,26.385900000000003,23.301241896121283,training
trip-153671279791474803,IND144601AAA,IND144001AAA,FTL,2018-09-12 00:39:57.915096,2018-09-12 02:06:55.592948,2018-09-12 02:59:42.355705,33.0,17.0,21.7661,19.624607845157684,training
trip-153671287611744830,IND121002AAB,IND000000ACB,Carting,2018-09-12 00:41:16.117700,2018-09-12 00:41:16.117700,2018-09-12 03:41:40.363271,134.0,64.0,75.1509,47.41131039009549,training
trip-153671289374432394,IND140901AAA,IND160055AAA,Carting,2018-09-12 00:41:33.744568,2018-09-12 02:45:34.226464,2018-09-12 03:47:41.603172,28.0,15.0,14.6876,12.105699780742514,training
trip-153671289374432394,IND160002AAC,IND140901AAA,Carting,2018-09-12 00:41:33.744568,2018-09-12 00:41:33.744568,2018-09-12 02:45:34.226464,80.0,46.0,56.4349,42.72946240854833,training
trip-153671289374432394,IND160055AAA,IND160002AAC,Carting,2018-09-12 00:41:33.744568,2018-09-12 03:47:41.603172,2018-09-12 05:22:54.531616,65.0,41.0,33.8798,31.006719652673567,training
trip-153671292681185799,IND400072AAB,IND000000AFT,Carting,2018-09-12 00:42:06.812144,2018-09-12 00:42:06.812144,2018-09-12 01:57:08.839828,48.0,18.0,21.288,13.479249737781162,training
trip-153671306463580546,IND442101AAB,IND445001AAB,FTL,2018-09-12 00:44:24.636038,2018-09-12 05:11:57.239362,2018-09-12 06:51:46.814438,84.0,38.0,52.0204,46.45668173068122,training
trip-153671307622926083,IND413304AAA,IND415301AAB,Carting,2018-09-12 00:44:36.229517,2018-09-12 03:29:08.883016,2018-09-12 04:47:19.378869,72.0,53.0,57.2303,48.00625969308565,training
trip-153671307622926083,IND415301AAB,IND413307AAB,Carting,2018-09-12 00:44:36.229517,2018-09-12 04:47:19.378869,2018-09-12 06:35:42.729280,68.0,35.0,35.2121,26.85623715799606,training
trip-153671310683457427,IND700065AAA,IND712311AAA,Carting,2018-09-12 00:45:06.834828,2018-09-12 00:45:06.834828,2018-09-12 04:12:29.937384,52.0,20.0,20.8831,15.738549955561622,training
trip-153671314368581111,IND441904AAB,IND441912AAA,Carting,2018-09-12 00:45:43.686070,2018-09-12 04:06:52.024458,2018-09-12 05:39:44.135192,48.0,28.0,30.1868,25.02332663904335,training
trip-153671314368581111,IND441912AAA,IND441107AAB,Carting,2018-09-12 00:45:43.686070,2018-09-12 05:39:44.135192,2018-09-12 09:43:05.840352,197.0,75.0,103.6758,83.47252143879263,training
trip-153671320412492075,IND518002AAA,IND501359AAE,FTL,2018-09-12 00:46:44.125157,2018-09-12 10:52:14.453954,2018-09-12 16:12:47.729762,263.0,144.0,199.764,163.98943651817035,training
trip-153671320412492075,IND562132AAA,IND518002AAA,FTL,2018-09-12 00:46:44.125157,2018-09-12 00:55:51.259556,2018-09-12 10:52:14.453954,476.0,286.0,346.47,308.0570709403406,training
