trip_uuid,source_center,destination_center,route_type,trip_creation_time,od_start_time,od_end_time,actual_time,osrm_time,osrm_distance,actual_distance_to_destination,data,source_hub,source_degree_centrality,source_betweenness_centrality,source_in_degree,source_out_degree,destination_hub,destination_degree_centrality,destination_betweenness_centrality,destination_in_degree,destination_out_degree,corridor_trip_count,corridor_delay_ratio,trip_hour,trip_dayofweek,trip_month,distance_per_hour,network_risk_score
trip-153671066826362165,IND560064AAD,IND560043AAC,0,2018-09-12 00:04:28.263977,2018-09-12 01:42:40.156332,2018-09-12 03:00:55.163423,39.0,16.0,15.077,12.352947778699786,training,IND560064AAD,0.000629326620516,0.0,0.0,1.0,IND560043AAC,0.0044052863436123,0.0003935768261964,4.0,3.0,28.0,2.566666666666667,0,2,9,0.9423125,0.0010101805205707602
trip-153671074033284934,IND395009AAA,IND395023AAD,0,2018-09-12 00:05:40.333071,2018-09-12 02:31:39.246238,2018-09-12 05:16:28.581141,128.0,16.0,17.0225,12.264924443306896,training,IND395009AAA,0.001258653241032,0.0,1.0,1.0,IND395023AAD,0.0062932662051604,1.574307304785894e-05,5.0,5.0,9.0,9.9375,0,2,9,1.06390625,0.00015644678841309823
trip-153671074033284934,IND395023AAD,IND395004AAB,0,2018-09-12 00:05:40.333071,2018-09-12 00:05:40.333071,2018-09-12 02:01:41.638015,33.0,13.0,13.9134,13.189923697974947,training,IND395023AAD,0.0062932662051604,1.574307304785894e-05,5.0,5.0,IND395004AAB,0.001258653241032,0.0,1.0,1.0,10.0,2.533333333333333,0,2,9,1.0702615384615384,3.988245172124265e-05
trip-153671079956500691,IND110024AAA,IND110014AAA,0,2018-09-12 00:06:39.565253,2018-09-12 00:06:39.565253,2018-09-12 00:55:59.568645,23.0,8.0,10.004,9.872145670751877,training,IND110024AAA,0.0025173064820641,0.0003935768261964,3.0,1.0,IND110014AAA,0.001258653241032,0.0,1.0,1.0,9.0,2.0,0,2,9,1.2505,0.0007871536523928
trip-153671090980523004,IND412105AAC,IND411017AAA,0,2018-09-12 00:08:29.805514,2018-09-12 02:17:04.815916,2018-09-12 03:30:02.142126,60.0,17.0,18.5886,13.583706117422135,training,IND412105AAC,0.001258653241032,0.0,1.0,1.0,IND411017AAA,0.001258653241032,0.0,1.0,1.0,23.0,2.25,0,2,9,1.0934470588235294,0.0
trip-153671110078355292,IND121004AAB,IND121001AAA,0,2018-09-12 00:11:40.783923,2018-09-12 00:11:40.783923,2018-09-12 00:50:10.814399,17.0,9.0,10.8159,9.39652561332599,training,IND121004AAB,0.0088105726872246,0.0048637102616025,8.0,6.0,IND121001AAA,0.001258653241032,0.0,1.0,1.0,19.0,1.818181818181818,0,2,9,1.2017666666666666,0.00884310956655
trip-153671117375890592,IND415408AAC,IND416012AAA,1,2018-09-12 00:12:53.759171,2018-09-12 09:10:19.661479,2018-09-12 17:32:20.626833,291.0,48.0,54.2263,34.98844151954941,training,IND415408AAC,0.001258653241032,0.0,1.0,1.0,IND416012AAA,0.0062932662051604,0.0122376154492023,5.0,5.0,7.0,6.0625,0,2,9,1.1297145833333333,0.07419054366078895
trip-153671117375890592,IND415612AAA,IND415408AAC,1,2018-09-12 00:12:53.759171,2018-09-12 04:52:44.354657,2018-09-12 09:10:19.661479,225.0,88.0,115.1548,84.00736723250888,training,IND415612AAA,0.001258653241032,0.0003935768261964,1.0,1.0,IND415408AAC,0.001258653241032,0.0,1.0,1.0,5.0,2.5,0,2,9,1.3085772727272726,0.000983942065491
trip-153671117375890592,IND416012AAA,IND415612AAA,1,2018-09-12 00:12:53.759171,2018-09-12 00:12:53.759171,2018-09-12 04:52:44.354657,246.0,91.0,127.7225,100.42917573663742,training,IND416012AAA,0.0062932662051604,0.0122376154492023,5.0,5.0,IND415612AAA,0.001258653241032,0.0003935768261964,1.0,1.0,7.0,2.845360824742268,0,2,9,1.403543956043956,0.035940299670206614
trip-153671121411074590,IND501359AAE,IND515004AAA,1,2018-09-12 00:13:34.111131,2018-09-12 02:33:44.518987,2018-09-12 10:50:14.219080,470.0,244.0,338.4056,296.93571140499523,training,IND501359AAE,0.0358716173694147,0.0674787407242187,30.0,27.0,IND515004AAA,0.0050346129641283,0.0047229219143576,4.0,4.0,9.0,1.786008230452675,0,2,9,1.3869081967213115,0.12895276372486467
