Model,MAE,RMSE,R2,Accuracy_15pct,MAE_Improvement_%
Baseline XGBoost,47.12,108.4,0.9297,0.0,0.0
Graph Enhanced XGBoost,31.49,90.92,0.9506,54.46,33.17062818336163
