source_center,destination_center,trip_count,actual_time,osrm_time,delay_ratio
IND562132AAA,IND501359AAE,2,767.5,426.0,1.801643192488263
IND562132AAA,IND515004AAA,9,280.0,183.0,1.530054644808743
IND562132AAA,IND518002AAA,12,453.0,286.0,1.583916083916084
IND562132AAA,IND560002AAA,21,66.0,27.0,2.4444444444444446
IND562132AAA,IND560043AAC,15,63.0,34.0,1.8529411764705883
IND562132AAA,IND560048AAB,11,77.0,40.0,1.925
IND562132AAA,IND560058AAB,13,29.0,17.0,1.7058823529411764
IND562132AAA,IND560058AAD,42,37.0,20.0,1.85
IND562132AAA,IND560060AAB,16,40.5,28.0,1.4464285714285714
IND562132AAA,IND560066AAB,2,101.0,43.0,2.3488372093023258
IND562132AAA,IND560078AAC,21,68.0,31.0,2.193548387096774
IND562132AAA,IND560083AAB,39,62.0,39.0,1.5897435897435896
IND562132AAA,IND560085AAA,11,54.0,31.0,1.7419354838709677
IND562132AAA,IND560099AAB,100,84.0,51.0,1.6470588235294117
IND562132AAA,IND560300AAA,100,87.0,48.0,1.8125
IND562132AAA,IND570020AAA,9,204.0,152.0,1.3421052631578947
IND562132AAA,IND572101AAA,3,68.0,57.0,1.1929824561403508
IND562132AAA,IND573201AAB,16,197.5,132.5,1.490566037735849
IND562132AAA,IND577002AAA,1,300.0,190.0,1.5789473684210527
IND562132AAA,IND577501AAA,1,255.0,151.0,1.6887417218543046
IND562132AAA,IND577598AAC,10,194.0,117.5,1.651063829787234
IND562132AAA,IND580028AAA,1,608.0,287.0,2.1184668989547037
IND562132AAA,IND583101AAA,10,323.0,219.5,1.4715261958997723
IND562132AAA,IND600056AAB,9,484.0,242.0,2.0
IND562132AAA,IND683511AAA,2,977.5,434.0,2.2523041474654377
IND562132AAA,IND712311AAA,3,3044.0,1370.0,2.221897810218978
IND562132AAA,IND751002AAB,12,2212.0,1047.0,2.1127029608404966
IND562159AAA,IND562117AAA,11,52.0,27.0,1.9259259259259258
IND563101AAB,IND563125AAB,1,54.0,36.0,1.5
IND563101AAB,IND563131AAA,11,37.0,24.0,1.5416666666666667
IND563116AAA,IND563131AAB,10,32.5,18.0,1.8055555555555556
IND563125AAB,IND560300AAA,3,204.0,53.0,3.849056603773585
IND563125AAB,IND560300AAB,9,206.0,48.0,4.291666666666667
IND563130AAA,IND563131AAB,8,46.5,33.0,1.4090909090909092
IND563131AAA,IND563125AAB,11,79.0,43.0,1.8372093023255813
IND563131AAB,IND560300AAA,3,125.0,79.0,1.5822784810126582
IND563131AAB,IND560300AAB,2,146.5,78.0,1.8782051282051282
IND563131AAB,IND563116AAA,12,34.0,18.0,1.8888888888888888
IND570020AAA,IND571301AAA,7,60.0,22.0,2.727272727272727
IND570020AAA,IND571430AAA,1,173.0,50.0,3.46
IND570020AAA,IND571602AAA,9,83.0,34.0,2.4411764705882355
IND571104AAA,IND577598AAB,11,37.0,20.0,1.85
IND571105AAA,IND571213AAA,8,68.0,39.0,1.7435897435897436
IND571111AAB,IND571313AAB,7,53.0,31.0,1.7096774193548387
