hub,degree_centrality,betweenness_centrality,in_degree,out_degree
IND274509AAB,0.0018879798615481437,0.0,1,2
IND274304AAA,0.0018879798615481437,0.0,2,1
IND274304AAB,0.0025173064820641915,0.0,2,2
IND274402AAA,0.0012586532410320957,0.0,0,2
IND275303AAA,0.0012586532410320957,2.8337531486146096e-05,1,1
IND276140AAA,0.0012586532410320957,2.5315494348315888e-05,1,1
IND276128AAA,0.0006293266205160479,0.0,0,1
IND276305AAA,0.0012586532410320957,0.0,1,1
IND276129AAA,0.0012586532410320957,5.352644836272041e-05,1,1
IND277201AAA,0.0012586532410320957,0.0,1,1
IND277211AAA,0.0012586532410320957,0.0,1,1
IND281121AAB,0.0006293266205160479,0.0,0,1
IND281401AAA,0.0012586532410320957,0.0,0,2
IND321022AAA,0.0012586532410320957,0.0,1,1
IND282001AAF,0.0006293266205160479,0.0,0,1
IND283122AAB,0.0018879798615481437,0.0,1,2
IND281004AAA,0.0006293266205160479,0.0,1,0
IND282005AAA,0.0006293266205160479,0.0,1,0
IND284001AAA,0.0006293266205160479,0.0,0,1
IND284403AAA,0.0018879798615481437,0.0,1,2
IND472001AAA,0.0025173064820641915,2.204030226700252e-05,2,2
IND285205AAB,0.0012586532410320957,0.00039357682619647357,1,1
IND321001AAB,0.0018879798615481437,0.0005903652392947104,1,2
IND321606AAA,0.0025173064820641915,0.00019678841309823678,2,2
IND301019AAA,0.0012586532410320957,0.0,0,2
IND302004AAA,0.0012586532410320957,0.0,1,1
IND302014AAB,0.011327879169288861,4.7229219143576825e-05,7,11
IND302006AAA,0.0012586532410320957,0.0,1,1
IND303702AAB,0.0018879798615481437,0.005859571788413099,1,2
IND305001AAC,0.005034612964128383,0.011042191435768262,4,4
IND306401AAB,0.004405286343612335,0.011754827875734678,3,4
IND313001AAB,0.005663939584644431,0.011311817800167927,4,5
IND302006AAC,0.0006293266205160479,0.0,1,0
IND302020AAA,0.0012586532410320957,0.0,1,1
IND302023AAA,0.0006293266205160479,0.0,1,0
IND302026AAA,0.0012586532410320957,0.0,1,1
IND303008AAB,0.0012586532410320957,1.5743073047858942e-06,1,1
IND303301AAB,0.0012586532410320957,0.0,1,1
IND303303AAA,0.0018879798615481437,6.297229219143577e-06,2,1
IND303603AAB,0.0025173064820641915,1.5743073047858942e-06,2,2
IND303901AAA,0.0012586532410320957,3.1486146095717885e-06,1,1
IND303002AAA,0.0012586532410320957,0.0,1,1
IND303338AAB,0.0018879798615481437,0.0,2,1
IND303106AAA,0.0018879798615481437,0.0032210327455919397,1,2
IND303108AAB,0.0006293266205160479,0.0,0,1
IND322230AAA,0.0012586532410320957,3.1486146095717885e-06,1,1
IND303503AAA,0.0012586532410320957,0.0,1,1
IND332001AAB,0.005663939584644431,0.005101072111185652,3,6
IND332404AAA,0.0012586532410320957,0.0,1,1
IND304001AAA,0.0006293266205160479,0.0,1,0
IND305802AAA,0.0012586532410320957,0.0015743073047858943,1,1
IND305901AAA,0.0012586532410320957,0.0,1,1
IND342602AAC,0.0025173064820641915,0.0019461286280267839,2,2
IND305404AAA,0.0012586532410320957,0.00679471032745592,1,1
IND305601AAC,0.0012586532410320957,0.006401133501259446,1,1
IND305624AAA,0.0018879798615481437,0.0071882871536523936,2,1
IND341512AAA,0.0012586532410320957,0.0011807304785894208,1,1
IND306116AAA,0.0006293266205160479,0.0,0,1
IND306001AAA,0.0006293266205160479,0.0,1,0
IND306304AAB,0.0012586532410320957,0.0,1,1
IND311302AAA,0.0018879798615481437,0.007581863979848866,2,1
IND342005AAD,0.0037759597230962874,0.003135956862397631,2,4
IND343001AAA,0.0012586532410320957,0.0011807304785894208,1,1
IND307001AAA,0.0012586532410320957,0.00039871903598597523,1,1
IND306902AAA,0.0006293266205160479,0.0,1,0
IND311001AAA,0.0018879798615481437,0.0035925692695214107,2,1
